Date,NYMEX Crude Oil,MCX Crude Oil,USDINR,Delhi,Mumbai,Chenni,Kolkata
09/03/2018,69.89,5012,71.35,79.15,86.56,82.24,82.06
09/04/2018,69.19,5012,71.72,79.31,86.72,82.41,82.22
09/05/2018,68.58,4934,71.8375,79.31,86.72,82.41,82.22
09/06/2018,67.71,4884,72.0225,79.51,86.91,82.62,82.41
09/07/2018,67.57,4883,71.85,79.99,87.39,83.13,82.88
09/08/2018,67.57,4883,71.85,80.38,87.77,83.54,83.27
09/09/2018,67.57,4883,71.85,80.5,87.89,83.66,83.39
09/10/2018,67.41,4916,72.55,80.73,88.12,83.91,83.61
09/11/2018,69.25,5044,72.8375,80.87,88.26,84.05,83.75
09/12/2018,70.08,5085,72.15,80.87,88.26,84.05,82.74
9/13/2018,68.57,4918,72.15,81,88.39,84.19,82.87
9/14/2018,68.82,4950,71.85,81.28,88.67,84.49,83.14
9/15/2018,68.82,4950,71.85,81.63,89.01,84.85,83.49
9/16/2018,68.82,4950,71.85,81.91,89.29,85.15,83.76
9/17/2018,68.44,4995,72.47,82.06,89.44,85.31,83.91
9/18/2018,69.51,5055,72.99,82.16,89.54,85.41,84.01
9/19/2018,70.69,5152,72.415,82.16,89.54,85.41,84.01
9/20/2018,70,5063,72.415,82.22,89.6,85.48,84.07
9/21/2018,70.61,5146,72.24,82.32,89.69,85.58,84.16
9/22/2018,70.61,5146,72.24,82.44,89.8,85.69,84.27
9/23/2018,70.61,5146,72.24,82.61,89.97,85.87,84.44
9/24/2018,72.12,5273,72.6,82.72,90.08,85.99,84.54
9/25/2018,72.25,5271,72.7,82.86,90.22,86.13,84.68
9/26/2018,71.55,5212,72.7025,82.86,90.22,86.13,84.68
9/27/2018,72.11,5239,72.75,83,90.35,86.28,84.82
9/28/2018,73.19,5335,72.74,83.22,90.57,86.51,85.03
9/29/2018,73.19,5335,72.74,83.4,90.75,86.7,85.21
9/30/2018,73.19,5335,72.74,83.49,90.84,86.8,85.3
10/01/2018,75.48,5501,73.1325,83.73,91.08,87.05,85.53
10/02/2018,74.94,5646,73.1325,83.85,91.2,87.18,85.65
10/03/2018,76.25,5487,73.495,83.85,91.2,87.18,85.65
10/04/2018,74.4,5546,73.7825,84,91.34,87.33,85.8
10/05/2018,74.28,5494,73.9625,81.5,86.97,84.7,83.3
10/06/2018,74.28,5494,73.9625,81.68,87.15,84.89,83.52
10/07/2018,74.28,5494,73.9625,81.82,87.29,85.04,83.66
10/08/2018,74.04,5494,74.275,82.03,87.5,85.26,83.87
10/09/2018,74.7,5574,74.455,82.26,87.73,85.5,84.09
10/10/2018,73,5454,74.3,82.26,87.73,85.5,84.09
10/11/2018,70.52,5255,74.19,82.36,87.82,85.61,84.19
10/12/2018,71.36,5243,73.6625,82.48,87.94,85.73,84.31
10/13/2018,71.36,5243,73.6625,82.66,88.12,85.92,84.48
10/14/2018,71.36,5243,73.6625,82.72,88.18,85.99,84.54
10/15/2018,71.46,5273,73.93,82.72,88.18,85.99,84.54
10/16/2018,71.68,5282,73.56,82.83,88.29,86.1,84.65
10/17/2018,69.77,5134,73.64,82.83,88.29,86.1,84.65
10/18/2018,68.86,5073,73.64,82.62,88.08,85.88,84.44
10/19/2018,69.34,5073,73.3625,82.38,87.84,85.63,84.21
10/20/2018,69.34,5073,73.3625,81.99,87.46,85.22,83.83
10/21/2018,69.34,5073,73.3625,81.74,87.21,84.96,83.58
10/22/2018,69.54,5087,73.59,81.44,86.91,84.64,83.29
10/23/2018,66.56,5107,73.6,81.34,86.81,84.53,83.19
10/24/2018,66.65,4887,73.15,81.25,86.73,84.44,83.1
10/25/2018,67.28,4938,73.2625,81.1,86.58,84.28,82.95
10/26/2018,67.58,4947,73.43,80.85,86.33,84.02,82.71
10/27/2018,67.58,4947,73.43,80.45,85.93,83.6,82.31
10/28/2018,67.58,4947,73.43,80.05,85.54,83.18,81.92
10/29/2018,66.91,4951,73.4275,79.75,85.24,82.86,81.63
10/30/2018,66.33,4956,73.9225,79.55,85.04,82.65,81.43
10/31/2018,65.23,4890,74.1775,79.55,85.04,82.65,81.43
11/01/2018,63.6,4892,73.6125,79.37,84.86,82.46,81.25
11/02/2018,63.13,4662,72.62,79.18,84.68,82.26,81.08
11/03/2018,63.13,4662,72.62,78.99,84.49,82.06,80.89
11/04/2018,63.13,4662,72.62,78.78,84.28,81.84,80.68
11/05/2018,63.51,4609,73.155,78.56,84.06,81.61,80.47
11/06/2018,62.14,4632,73.05,78.42,83.92,81.46,80.33
11/07/2018,61.7,4513,72.63,78.42,83.92,81.46,80.33
11/08/2018,61.11,4556,72.63,78.21,83.72,81.24,80.13
11/09/2018,60.17,4431,72.6425,78.06,83.57,81.08,79.98
11/10/2018,60.17,4431,72.6425,77.89,83.4,80.9,79.81
11/11/2018,60.17,4431,72.6425,77.73,83.24,80.73,79.65
11/12/2018,60.2,4362,72.9225,77.56,83.07,80.56,79.49
11/13/2018,56.2,4403,72.7725,77.43,82.94,80.42,79.36
