DATE,TIME,OPEN,HIGH,LOW,CLOSE,BollUp1,Boll1,BollDown1,BollUp2,Boll2,BollDown2,BollUp3,Boll3,BollDown3,SuperTrend,MACD,Signal,Histogram,RSI,%K,%D,ADX,ADXR,HistoricalVolatility,Returns,Target
17-Aug-18,15:12:00,11474.65,11475.2,11473.35,11474.1,11484.35,11477,11469.65,11483.3,11477,11470.7,11482.25,11477,11471.75,11482.05,-0.77,-0.37,-0.4,40.82,9.81,20.63,14.31,17.26,0.28,0.000100231,1
17-Aug-18,15:11:00,11475.1,11476.35,11474.05,11474.5,11484.78,11476.91,11469.05,11483.66,11476.91,11470.17,11482.53,11476.91,11471.3,11483.06,-0.6,-0.27,-0.34,41.78,16.06,28.93,14.33,17.49,0.28,3.49E-05,1
17-Aug-18,15:10:00,11476.4,11478.2,11475.35,11475.55,11484.71,11476.94,11469.17,11483.6,11476.94,11470.29,11482.49,11476.94,11471.39,11483.06,-0.43,-0.18,-0.25,44.32,18.22,37.95,14.68,17.77,0.28,9.15E-05,1
17-Aug-18,15:09:00,11474.95,11477.05,11474.95,11476.45,11484.7,11476.95,11469.19,11483.6,11476.95,11470.3,11482.49,11476.95,11471.41,11483.06,-0.31,-0.12,-0.19,46.57,24.78,47.39,15.67,18.38,0.28,7.84E-05,1
17-Aug-18,15:08:00,11476,11476.65,11474.2,11475.15,11484.82,11476.85,11468.87,11483.68,11476.85,11470.01,11482.54,11476.85,11471.15,11483.06,-0.24,-0.07,-0.17,42.67,34.3,55.71,16.11,19.01,0.29,-0.000113282,0
17-Aug-18,15:07:00,11477.75,11478.65,11476,11476.25,11484.79,11476.88,11468.97,11483.66,11476.88,11470.1,11482.53,11476.88,11471.23,11483.06,-0.02,-0.03,0.01,45.27,51.31,63.41,16.37,19.47,0.29,9.59E-05,1
17-Aug-18,15:06:00,11478.95,11479.6,11477.65,11477.9,11484.99,11477,11469,11483.85,11477,11470.14,11482.71,11477,11471.29,11483.06,0.15,-0.03,0.18,49.47,61.14,69.42,17.48,20.38,0.3,0.000143765,1
17-Aug-18,15:05:00,11479,11480,11478.15,11478.7,11485.21,11477.06,11468.92,11484.04,11477.06,11470.08,11482.88,11477.06,11471.25,11483.06,0.2,-0.08,0.28,51.62,65.44,71.2,18.08,20.65,0.3,6.97E-05,1
17-Aug-18,15:04:00,11479.15,11480.6,11478.25,11479,11486.2,11477.24,11468.28,11484.92,11477.24,11469.56,11483.64,11477.24,11470.84,11483.06,0.17,-0.15,0.32,52.42,66.36,68.25,18.43,21.26,0.3,2.61E-05,1
17-Aug-18,15:03:00,11479.1,11480.45,11478.25,11479.3,11488.15,11477.54,11466.93,11486.63,11477.54,11468.44,11485.12,11477.54,11469.96,11483.06,0.11,-0.23,0.34,53.18,72.81,60.02,18.76,21.54,0.31,2.61E-05,1
17-Aug-18,15:02:00,11481.1,11481.55,11478.3,11479,11489.85,11477.83,11465.81,11488.13,11477.83,11467.53,11486.42,11477.83,11469.25,11483.06,0,-0.31,0.31,52.54,81.36,50.53,19.17,21.82,0.31,-2.61E-05,0
17-Aug-18,15:01:00,11481.25,11482.75,11479.15,11481.1,11490.89,11478.07,11465.25,11489.06,11478.07,11467.09,11487.23,11478.07,11468.92,11483.06,-0.11,-0.39,0.28,57.66,70.04,39.33,19.58,22.4,0.32,0.000182926,1
17-Aug-18,15:00:00,11476.1,11481.15,11475.25,11481.05,11492.1,11478.29,11464.48,11490.12,11478.29,11466.46,11488.15,11478.29,11468.43,11483.06,-0.47,-0.46,-0.01,57.57,50.69,31.61,19.62,22.94,0.32,-4.35E-06,0
17-Aug-18,14:59:00,11475.55,11476.65,11474.75,11475.9,11492.27,11478.34,11464.4,11490.28,11478.34,11466.39,11488.29,11478.34,11468.38,11483.06,-0.91,-0.45,-0.46,46.53,25.21,25.9,20.22,24.19,0.28,-0.000448666,0
17-Aug-18,14:58:00,11474.75,11476.2,11474.35,11475.55,11492.61,11478.63,11464.65,11490.61,11478.63,11466.64,11488.61,11478.63,11468.64,11483.06,-0.94,-0.34,-0.6,45.63,25.34,24.22,20.65,24.66,0.28,-3.05E-05,0
17-Aug-18,14:57:00,11476,11476.8,11474.15,11474.3,11493.1,11479.01,11464.92,11491.09,11479.01,11466.93,11489.07,11479.01,11468.94,11483.06,-0.92,-0.19,-0.73,42.44,25.36,21.17,20.87,24.36,0.29,-0.000108933,0
17-Aug-18,14:56:00,11475.7,11478,11475.65,11476.3,11493.18,11479.43,11465.68,11491.22,11479.43,11467.64,11489.25,11479.43,11469.6,11483.06,-0.76,-0.01,-0.75,46.49,31.47,18.34,21.1,24.03,0.29,0.000174287,1
17-Aug-18,14:55:00,11477.1,11477.55,11474.7,11475.8,11493.13,11479.62,11466.11,11491.2,11479.62,11468.04,11489.27,11479.62,11469.97,11483.06,-0.75,0.18,-0.92,45.28,22.11,13.74,21.91,24.03,0.29,-4.36E-05,0
17-Aug-18,14:54:00,11473,11477.85,11472.6,11477.1,11492.96,11479.72,11466.47,11491.07,11479.72,11468.36,11489.18,11479.72,11470.25,11483.06,-0.67,0.41,-1.08,47.9,16.82,11.57,22.57,23.92,0.3,0.000113275,1
17-Aug-18,14:53:00,11475.3,11476.1,11471.9,11472.45,11492.9,11479.79,11466.68,11491.03,11479.79,11468.55,11489.16,11479.79,11470.43,11483.06,-0.69,0.68,-1.37,35.51,10.11,11.53,23.28,24.41,0.26,-0.000405237,0
17-Aug-18,14:52:00,11476.15,11478.15,11474.65,11475.05,11491.89,11480.24,11468.6,11490.23,11480.24,11470.26,11488.56,11480.24,11471.92,11483.51,-0.23,1.02,-1.25,40.51,11.2,16.24,23.22,24.44,0.25,0.000226604,1
17-Aug-18,14:51:00,11474.95,11476.75,11473.8,11475.65,11491.55,11480.63,11469.7,11489.99,11480.63,11471.26,11488.43,11480.63,11472.82,11483.51,0.08,1.33,-1.25,41.77,8.46,24.52,24.09,24.64,0.25,5.23E-05,1
17-Aug-18,14:50:00,11475.7,11476.55,11473.65,11474.55,11491.04,11480.91,11470.79,11489.59,11480.91,11472.23,11488.14,11480.91,11473.68,11483.51,0.43,1.65,-1.21,38.51,11.26,37.39,24.33,24.52,0.25,-9.59E-05,0
